recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_4,07/25/22,17:40:15,72.05796758770943,49.37363243529831,999.950434212396,95.0468,8923.259337329557,1476.090506181479,892.1727083814362,20.07398706990365,6.0,7.0,7.0
recording_4,07/25/22,17:40:17,91.17334166998816,49.897451492245395,999.9254937295846,166.33225,669.7332106715731,188202.18037661054,2223.062381852552,27.132178782748582,6.0,8.0,8.0
recording_4,07/25/22,17:40:19,91.16420211606705,49.82094716427349,999.9286160088758,153.65105,689.2902335212241,281187.82073212456,4656.040371715182,13.824980845177059,5.0,7.0,7.0
recording_4,07/25/22,17:40:20,91.1870510018521,50.00355253179823,999.9457151865137,145.4738,725.1798561151079,344813.33875559195,6881.204542554549,20.399888064793394,6.0,7.0,7.0
recording_4,07/25/22,17:40:22,91.1750553364067,50.09172621251153,999.9405840069377,181.6799,761.1149504722414,393020.50113895256,9167.944988098387,22.968714445814992,6.0,7.0,7.0
recording_4,07/25/22,17:40:24,91.17962511361283,50.28607080665933,999.9373526521595,157.5029,793.8227497983174,424546.0750853243,11180.1513189285,18.19586202725384,6.0,7.0,7.0
recording_4,07/25/22,17:40:25,91.18419489094991,50.34494858231385,999.9392857141033,157.0881,823.2920149899107,449435.89743589784,13252.38898257448,16.561378743451368,5.0,6.0,6.0
recording_4,07/25/22,17:40:27,91.19276322380996,50.29796069050221,999.9441561897057,151.51795,849.5126031031898,465757.543673902,14947.307803052117,19.445649773413503,5.0,6.0,6.0
recording_4,07/25/22,17:40:29,91.1961905570829,49.86821908415882,999.9417020429391,152.8216,875.7574008886838,483168.49015317333,16662.9312887054,13.376558180782695,4.0,5.0,5.0
recording_4,07/25/22,17:40:30,91.15791867305016,49.338030214983135,999.9417679295497,157.32515,895.4569070022515,497396.96799550846,18233.63711681856,10.674502284460319,4.0,4.0,4.0
recording_4,07/25/22,17:40:32,91.07680515815272,48.39546732748914,999.9401514404136,162.599,918.4569184569184,511415.0834772598,20020.053991515622,25.04984641163519,3.0,4.0,4.0
recording_4,07/25/22,17:40:34,90.97170038332209,48.83618685617652,999.9314905865523,165.97655,938.1860196418255,521387.22905682534,21441.659464131375,16.662088569350697,3.0,4.0,4.0
recording_4,07/25/22,17:40:35,90.86659567777316,48.9822515251953,999.9273347360264,164.49515,954.6373880381393,522743.39401057013,22671.775223499364,18.85245633879085,3.0,3.0,3.0
recording_4,07/25/22,17:40:37,90.79462184328662,50.093683198836175,999.9268408774785,170.30225,967.8053291717242,524447.5853945825,23541.602776208543,16.79525661304331,2.0,3.0,3.0
recording_4,07/25/22,17:40:39,90.7374997755482,50.410945884265274,999.9302674833282,171.60595,977.6852815354376,529620.9150326798,24568.95283250225,19.853274077265016,2.0,2.0,2.0
recording_4,07/25/22,17:40:40,90.72550414392305,50.581538738235395,999.9283740103657,172.85045,987.5686614628506,531716.1598091832,25380.56312443233,25.338521418418612,2.0,2.0,2.0
recording_4,07/25/22,17:40:42,90.74206954021422,51.16987239238759,999.924263936087,173.3838,994.1594864974268,535596.6386554624,26387.36102984202,18.499257560392607,2.0,2.0,2.0
recording_4,07/25/22,17:40:44,90.75806371757663,51.43468980955045,999.9299230020439,174.15415,1004.0485829959515,537734.9397590365,27201.080533513425,20.338432916191437,2.0,3.0,3.0
recording_4,07/25/22,17:40:46,90.75349395245223,51.60491759879791,999.9327647896025,164.61385,1013.9411118181293,553900.99009901,28644.452078323597,16.100293479423495,2.0,2.0,2.0
recording_4,07/25/22,17:40:47,90.70379776518101,49.95172224788081,999.9322415879063,155.25125,1030.4362920958224,553523.8095238096,30131.2592851525,14.503304304963828,2.0,3.0,3.0
recording_4,07/25/22,17:40:49,90.65181671230988,49.90413533241042,999.9237992082177,132.37815,1040.3379825221368,553900.99009901,31021.01359703338,21.236692213584686,2.0,3.0,3.0
recording_4,07/25/22,17:40:51,90.598693236225,50.821197037566975,999.9135832968245,131.6079,1050.2431118314425,552019.7409006787,31624.466571834993,19.060308975810525,2.0,3.0,3.0
recording_4,07/25/22,17:40:52,90.59012493528823,50.89772637627919,999.9270381287945,134.86705,1060.1516818155503,551270.4867529267,32315.41218637993,20.047984991736516,3.0,3.0,3.0
recording_4,07/25/22,17:40:54,90.60440543710533,51.01542900124546,999.9347732909839,129.94875,1063.455303381195,552019.7409006787,32920.96715987009,10.499227118570317,3.0,3.0,3.0
recording_4,07/25/22,17:40:56,90.58955371524215,51.16803136697809,999.936904500692,142.5702,1073.3684637211188,556554.3816034807,33836.84258499681,15.285464010095145,3.0,3.0,3.0
recording_4,07/25/22,17:40:57,90.57641565474708,50.82693769489657,999.9442547734778,140.0813,1079.9791509816414,561157.1696931751,34989.66026587888,20.272042280856606,3.0,4.0,5.0
recording_4,07/25/22,17:40:59,90.57013223489297,50.344694941831,999.93849421662,183.8723,1089.8980537534756,561543.8596491232,35974.61739455021,26.440151805974327,3.0,4.0,5.0
recording_4,07/25/22,17:41:01,90.58212785482931,49.456646734356795,999.9369454233744,167.6356,1099.8204043798157,562706.8424356565,36858.48878839269,22.935816261883996,3.0,4.0,5.0
recording_4,07/25/22,17:41:03,90.58669761504244,49.280216660357986,999.9339051990223,146.1253,1109.746204658709,563095.4773869351,37652.60357278602,25.202614513513208,3.0,4.0,5.0
recording_4,07/25/22,17:41:04,90.598693236225,48.44477634381363,999.9397066326802,165.6209,1116.3653222067687,561157.1696931751,38162.606286424,22.97595311022613,3.0,4.0,5.0
