recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_3,07/25/22,16:49:21,72.49608667150605,37.58568413130041,999.6056018839477,2239.7487,10010.314111579935,526.7263133746272,478.13878860810274,19.94457180187046,4.0,5.0,5.0
recording_3,07/25/22,16:49:23,97.18671266378632,37.50706023062175,999.6230247229972,2262.13155,562.4103299856528,152769.3285320907,1506.2722445883658,24.75631421345781,4.0,4.0,8.0
recording_3,07/25/22,16:49:25,97.25261289697457,37.69905293566414,999.633164446331,2278.7265,585.141807325755,228034.58213256492,3248.5722873459576,28.25054974081765,3.0,5.0,8.0
recording_3,07/25/22,16:49:27,97.30533310301064,37.6566738108648,999.642123735779,2040.45965,624.1525910605538,285392.4489089022,5114.900477460159,22.294023834795926,3.0,5.0,7.0
recording_3,07/25/22,16:49:28,97.31220965290098,37.87327694072798,999.637556800704,2346.93735,666.4750186856783,335888.66799204797,7147.104049205536,25.614093239636304,3.0,4.0,6.0
recording_3,07/25/22,16:49:30,97.28183822644205,38.0238547578315,999.639259245192,2025.4891,699.0738077431974,371221.4997832684,8948.929159802306,17.274965152205763,4.0,5.0,6.0
recording_3,07/25/22,16:49:32,97.23312934695325,38.18050082248396,999.6353770051802,1768.52235,731.7101249064641,400930.92257765436,10829.400596691075,24.623899928193378,4.0,5.0,6.0
recording_3,07/25/22,16:49:33,97.23885980259631,38.33666717936694,999.6330006619271,1733.0032,754.5779108603017,420826.31833575224,12269.030962111245,18.346053813409494,3.0,4.0,6.0
recording_3,07/25/22,16:49:35,97.29329914141162,38.36639680475427,999.6290914413268,1759.35685,777.4641396393802,437046.52326163085,13811.588043632242,23.945598098489125,2.0,3.0,4.0
recording_3,07/25/22,16:49:37,97.33971585540905,38.336057538027134,999.6387244075544,1939.9608,797.0956030657524,453881.01396792557,15177.872463349464,17.382001952931166,2.0,3.0,4.0
recording_3,07/25/22,16:49:39,97.39931264368435,38.15521474332665,999.6473302445269,1896.419,816.7406467977172,466864.72148541163,16545.267186809953,21.73637140121093,2.0,3.0,4.0
recording_3,07/25/22,16:49:40,97.46406687141908,38.08878724322394,999.653912702503,1976.6038,833.1219005881675,478490.238611714,17766.93361275354,23.906554118434048,2.0,3.0,3.0
recording_3,07/25/22,16:49:42,97.51793324006321,37.94390499405121,999.6613185711441,1875.02835,849.5126031031898,486134.2134213421,18865.172806684393,17.34047969407176,2.0,2.0,2.0
recording_3,07/25/22,16:49:44,97.59586759265986,38.07574238628862,999.6690543985111,1919.98875,862.6319736918018,489132.7433628319,19716.370899592843,23.96358268045475,1.0,2.0,2.0
recording_3,07/25/22,16:49:45,97.68067854878609,37.89469457032201,999.6754262716072,1882.66125,875.7574008886838,496156.8627450983,20646.70658682635,20.545343942171552,1.0,2.0,2.0
recording_3,07/25/22,16:49:47,97.75803993299189,37.77990461523029,999.6799410355161,1901.23185,888.888888888889,502413.59773371153,21478.185677226636,15.055202689182899,0.0,1.0,1.0
recording_3,07/25/22,16:49:49,97.81133335269587,37.65919047003359,999.6776928196175,1799.8923,902.0264418913458,509461.84738955833,22390.201224846896,18.1441553394114,1.0,1.0,1.0
recording_3,07/25/22,16:49:50,97.85201973879241,37.42419922579992,999.6735937529015,1823.5172,911.8835893290218,516690.29633933795,23279.27927927928,11.938849273413263,1.0,1.0,1.0
recording_3,07/25/22,16:49:52,97.8875487041026,37.207214541006216,999.6782970396761,1863.8835,928.3197597181309,520374.2690058484,24208.333333333336,19.225963026342203,1.0,1.0,2.0
recording_3,07/25/22,16:49:54,97.92938120559965,37.02024235524017,999.6794339503904,1830.07955,938.1860196418255,523083.43125734484,24972.72428524482,11.60258845781024,1.0,1.0,2.0
recording_3,07/25/22,16:49:56,98.00445051645158,36.92345576581025,999.6888522089641,1794.28465,948.055700005778,524105.94467333786,25582.650442844137,16.31307092852062,1.0,1.0,2.0
recording_3,07/25/22,16:49:57,98.03539512809304,36.585843739945375,999.6816789276115,1810.40225,957.9288025889967,525818.1818181825,26318.55007099307,23.371979122566472,1.0,1.0,2.0
recording_3,07/25/22,16:49:59,98.10186875846296,36.434722800705636,999.685150029621,1584.1687,971.0982658959538,532066.8257756565,27109.874357028417,25.72672390450454,1.0,1.0,2.0
recording_3,07/25/22,16:50:01,98.15115095047743,36.38610305331584,999.6630581448965,1752.05115,977.6852815354376,532066.8257756565,27752.54928619986,23.41599157654522,1.0,1.0,2.0
recording_3,07/25/22,16:50:02,98.21590548159774,36.241003221293134,999.6467051912887,1801.7141,987.5686614628506,529969.0844233057,28217.721951636333,12.062526215421995,2.0,2.0,3.0
recording_3,07/25/22,16:50:04,98.28008698955428,36.52350946129467,999.6448952423968,1837.9882,994.1594864974268,530666.6666666667,28622.649609341468,23.28975750138655,2.0,2.0,3.0
recording_3,07/25/22,16:50:06,98.35687561315899,36.6916496446998,999.642245301719,1847.36085,1000.7518362153722,529969.0844233057,29060.844049365674,14.015769097184076,2.0,2.0,3.0
recording_3,07/25/22,16:50:07,98.41819192854157,36.829721314611035,999.6456973137313,1831.1121,1007.3457111458154,529273.1591448932,29414.68064823642,25.861611451678097,2.0,2.0,3.0
recording_3,07/25/22,16:50:09,98.472058617462,36.87752018117577,999.6479787135785,1779.64265,1013.9411118181293,531716.1598091832,29868.61822617181,23.328962694648045,2.0,3.0,4.0
recording_3,07/25/22,16:50:11,98.51159907083684,36.919424590114836,999.6546929558905,1810.38695,1017.2393844729839,531365.9117997617,30214.135759272227,25.13592773290232,2.0,3.0,4.0
