recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_6,07/10/23,15:00:33,71.65416439055582,48.50813222973965,1000.3501756961083,214.9847,12874.912648497555,2771.615980918307,2603.876798668094,19.885627412543986,13.0,15.0,15.0
recording_6,07/10/23,15:00:35,94.83112998234661,48.58160802058846,1000.345747444166,255.3988,908.5974940816445,253937.106918239,3944.0457365284033,28.78166190623629,13.0,17.0,17.0
recording_6,07/10/23,15:00:37,94.83852676250682,48.4348498704933,1000.3445353542274,289.53085,921.7441524689575,364477.8156996589,7398.945066254985,24.336309671231522,12.0,16.0,20.0
recording_6,07/10/23,15:00:38,94.84706150927526,48.474496649662,1000.341877988857,246.15425,954.6373880381393,438282.848545637,10165.413533834588,28.048265923037135,12.0,15.0,18.0
recording_6,07/10/23,15:00:40,94.86185507143128,48.339041065412886,1000.3455600222574,305.41205,994.1594864974268,483463.6015325675,12611.207796728158,21.77660497268256,12.0,15.0,20.0
recording_6,07/10/23,15:00:42,94.86868286981601,48.350454059256556,1000.3484493704594,322.24155,1023.837074751215,510436.7816091955,14657.394795325832,20.351051239892602,13.0,16.0,20.0
recording_6,07/10/23,15:00:44,94.87437270202838,47.729127541147626,1000.344440442551,375.73725,1056.848442746324,535241.7516496703,16759.48619518677,22.31000986577887,13.0,16.0,19.0
recording_6,07/10/23,15:00:45,94.86526897058681,46.99452870917105,1000.3543702804651,395.0095,1086.591369823342,550150.061500615,18644.047258406546,21.887020902261582,12.0,16.0,19.0
recording_6,07/10/23,15:00:47,94.83625083011302,46.9151831741479,1000.3491502217554,460.1644,1109.746204658709,563874.2138364784,20450.511945392493,24.400568664719675,11.0,14.0,16.0
recording_6,07/10/23,15:00:49,94.79812896738375,47.33295504978835,1000.3488696790229,584.3892,1129.6081613725944,570175.3494282091,21980.852915578762,19.968603353203537,11.0,14.0,17.0
recording_6,07/10/23,15:00:50,94.76797287352328,47.0841810205757,1000.355486604882,712.8012,1149.4839383045344,580281.4719173663,23522.34952396321,21.301183857735428,11.0,14.0,17.0
recording_6,07/10/23,15:00:52,94.7412306818899,46.869215447273135,1000.3602364815874,559.23355,1166.057653268372,586922.3744292242,25065.96479684159,26.699116970684624,10.0,13.0,18.0
recording_6,07/10/23,15:00:54,94.67864259148217,46.78963266981201,1000.3516024994386,484.83715,1182.6409839870041,594561.0561056113,26580.64516129033,15.728760873698524,10.0,13.0,17.0
recording_6,07/10/23,15:00:55,94.61207164976862,46.72150535363689,1000.3508456208402,172.97015,1195.9145775301765,600191.7443408788,28031.034188762897,20.45730959231597,9.0,12.0,17.0
recording_6,07/10/23,15:00:57,94.54550073606774,46.90721791217675,1000.3392583548073,253.91415,1212.5152377082488,600191.7443408788,29370.29016890429,22.270138486603244,9.0,12.0,15.0
recording_6,07/10/23,15:00:59,94.49258541439079,47.081816938249105,1000.340909899923,272.28385,1222.480260102183,604589.8123324398,30456.140350877202,17.592501990326046,8.0,11.0,14.0
recording_6,07/10/23,15:01:01,94.40780714021086,47.2167902453768,1000.3538279677128,219.30785,1232.4487544277335,604589.8123324398,31725.856697819316,18.54648258581203,8.0,11.0,14.0
recording_6,07/10/23,15:01:02,94.35887473418148,46.950916947076614,1000.3672094314986,742.96895,1245.7454841145382,612203.3898305089,33057.55850727388,28.983709870146587,8.0,10.0,15.0
recording_6,07/10/23,15:01:04,94.26044098650297,47.05745275420024,1000.3687718596941,334.7409,1255.7220866736377,608598.7862441001,34239.882805347006,18.060026509640373,9.0,12.0,18.0
recording_6,07/10/23,15:01:06,94.19443920155145,46.955338212096244,1000.3688597598192,268.78755,1269.0296339337594,613110.6585200275,35352.303271850964,28.86618338109939,9.0,12.0,17.0
recording_6,07/10/23,15:01:07,94.11193700908436,47.14094320933301,1000.3663580839145,322.2971,1279.0143546231186,610847.0906630586,36475.136048039036,21.847983888808475,9.0,12.0,17.0
recording_6,07/10/23,15:01:09,94.03114180022914,47.55795831886389,1000.3837928731853,275.01005,1285.6727695437373,608150.9433962266,37042.575285565945,22.794578126616447,9.0,12.0,17.0
recording_6,07/10/23,15:01:11,93.97253685061187,47.82844125375146,1000.3711214840408,102.69095,1292.3327326629078,606811.0289172833,37947.1928319512,25.336611756465118,8.0,12.0,17.0
recording_6,07/10/23,15:01:12,93.94579479343685,47.88459803607494,1000.3674072119225,106.9575,1298.9942445206675,601066.6666666666,38751.009421265146,20.14883998703741,8.0,12.0,17.0
recording_6,07/10/23,15:01:14,93.92303559940174,49.074792116509315,1000.3650177908243,116.55735,1298.9942445206675,605032.8638497654,38942.68374915712,20.176880082655348,7.0,11.0,16.0
recording_6,07/10/23,15:01:16,93.911087023844,49.7345162445838,1000.3720378343788,104.6464,1305.6573056573059,603705.4886211513,39420.66027689031,18.31577176269904,8.0,11.0,15.0
recording_6,07/10/23,15:01:18,93.90084538836994,49.37913805409939,1000.3738898445174,155.37125,1312.3219166133629,600191.7443408788,39978.18677573279,27.062405856532468,8.0,11.0,15.0
recording_6,07/10/23,15:01:19,93.8962935505943,49.13093887062151,1000.3681090129686,95.2245,1318.988077929631,605032.8638497654,40807.779196542586,20.841291998182825,8.0,11.0,15.0
recording_6,07/10/23,15:01:21,93.88093109906836,50.02725696475117,1000.3848877438139,100.73535,1325.655790147153,599755.1563539586,41564.83864581271,22.158262304737253,9.0,12.0,15.0
recording_6,07/10/23,15:01:23,93.8564649756439,50.12844664413662,1000.3835974274265,103.9945,1328.9902280130293,602383.4335337342,41816.593886462884,17.93692597871747,9.0,12.0,15.0
