recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_8,09/12/22,22:16:06,72.55449320557643,50.39976657437041,999.6800290549736,1851.4068,19484.414490311712,1225.8027056842595,836.3992849316649,14.509434930251805,11.0,17.0,18.0
recording_8,09/12/22,22:16:08,91.09170501541179,50.219327719244866,999.6783814721726,2397.23115,911.8835893290218,195236.29875095593,3599.685553607063,26.411961884619988,11.0,17.0,18.0
recording_8,09/12/22,22:16:10,91.03970822068543,50.398566733080244,999.6828999913043,2134.8602,948.055700005778,274960.37609133654,8663.429996063509,18.947229273703652,11.0,16.0,17.0
recording_8,09/12/22,22:16:12,91.0179952784527,50.51074303542502,999.6778906609179,2358.15415,1000.7518362153722,330661.43585719896,13276.72734940606,26.990668819425547,11.0,16.0,19.0
recording_8,09/12/22,22:16:13,90.98828283597534,50.46533734327227,999.6812459055191,2245.8426,1050.2431118314425,386767.29559748445,17794.54926624738,22.96510009768338,11.0,17.0,20.0
recording_8,09/12/22,22:16:15,90.95742761310554,50.442511529041575,999.6923113699355,1728.5816,1093.2051207785437,440024.1570206342,21557.44412968209,21.016259020470347,11.0,18.0,21.0
recording_8,09/12/22,22:16:17,90.92885796762071,50.2735196113378,999.6934772446465,2239.20425,1136.231884057971,487329.65821389196,25394.00445949294,27.830653852746675,11.0,18.0,23.0
recording_8,09/12/22,22:16:18,90.87686122596679,50.26737846459352,999.6950276935843,2197.74655,1172.6898311967052,518024.4612696568,28724.490673085187,24.827794988432544,11.0,18.0,23.0
recording_8,09/12/22,22:16:20,90.85857666150034,50.357169550535616,999.6821723021942,1986.19855,1202.5536854323855,543513.3819951344,31992.143558610842,28.362313735572993,11.0,19.0,24.0
recording_8,09/12/22,22:16:22,90.86600476556211,50.278613048004246,999.6833283084503,1611.5485,1225.8027056842595,558847.1615720527,34738.35389431044,30.96711334764571,12.0,19.0,25.0
recording_8,09/12/22,22:16:24,90.8700045140463,50.30678345621067,999.6811415670128,2147.30595,1252.3961661341855,577419.0231362468,37661.50337356268,25.406729077176617,11.0,19.0,25.0
recording_8,09/12/22,22:16:25,90.86143362456008,50.18860371078178,999.6785731257385,1151.90265,1272.3574873612645,588604.3165467631,40278.20650581225,15.519918874138972,11.0,18.0,25.0
recording_8,09/12/22,22:16:27,90.86486198029932,50.08760635930543,999.6789572971612,1467.09305,1292.3327326629078,597147.779986747,42876.404494382026,14.014243207989663,12.0,19.0,26.0
recording_8,09/12/22,22:16:29,90.8631478024205,50.09877973567828,999.6693158225321,1553.76975,1312.3219166133629,606365.5913978496,45190.96509240247,14.844243181808586,11.0,20.0,25.0
recording_8,09/12/22,22:16:30,90.85800526889453,50.07630951400553,999.667644491827,1503.331,1328.9902280130293,612656.7164179109,47594.70254361993,20.64159511214154,11.0,19.0,24.0
recording_8,09/12/22,22:16:32,90.86257640979832,50.03704766728219,999.655558562902,1308.36265,1342.3318594368163,615847.3074301301,49524.62526766596,25.67215282990081,11.0,19.0,24.0
recording_8,09/12/22,22:16:34,90.87114729934592,49.992248570740166,999.656327668205,1997.09825,1362.3559539052496,621388.3161512035,51786.526684164484,15.342693562029487,11.0,19.0,24.0
recording_8,09/12/22,22:16:35,90.88314654548608,50.02602351916158,999.6531123560229,2216.8515,1372.3732464054951,624193.2367149767,53632.9254727475,15.350331467219128,11.0,19.0,23.0
recording_8,09/12/22,22:16:37,90.89514579252872,50.14414035347147,999.6538811735242,2314.5762,1385.7350800582242,627021.4830214829,55733.36356422175,19.78062427576886,11.0,19.0,23.0
recording_8,09/12/22,22:16:39,90.9002883272518,50.25094467897864,999.6640367848242,2276.218,1395.7605404146286,631308.2287308229,57587.645499596634,26.052201398131743,11.0,19.0,23.0
recording_8,09/12/22,22:16:41,90.89571718526753,50.25079137019356,999.6577396812463,2178.2727,1409.1332712022368,634196.0784313728,59585.78632578868,13.752144213272642,10.0,19.0,23.0
recording_8,09/12/22,22:16:42,90.87400426263078,50.22814058518473,999.6493859216457,2194.83335,1419.1669094086806,635164.0953716692,61375.25306657141,26.104310507728286,10.0,19.0,23.0
recording_8,09/12/22,22:16:44,90.86657615819658,50.340339293056104,999.6553021568045,2224.1192,1432.5505506672107,636134.8314606744,63264.27879961278,28.695808726316404,10.0,19.0,23.0
recording_8,09/12/22,22:16:46,90.85743387629076,50.42451740680562,999.656331757177,2106.81035,1439.2447112302582,638573.643410853,64799.11753891409,17.1509887097893,10.0,19.0,23.0
recording_8,09/12/22,22:16:47,90.84657741720804,50.4524598545257,999.6560764816911,2195.82975,1452.6377149519092,643007.092198582,66831.50548354936,15.366444102301271,10.0,19.0,23.0
recording_8,09/12/22,22:16:49,90.8511485577844,50.42446775838055,999.6544039808291,2354.9652,1462.6865671641792,646494.6543121887,68696.35627530365,28.710990238592753,10.0,19.0,23.0
recording_8,09/12/22,22:16:51,90.85457691330262,50.42448903651039,999.6643030488588,2373.11175,1472.7389352148814,644497.5124378115,70261.84985908277,18.234501596031592,11.0,19.0,24.0
recording_8,09/12/22,22:16:52,90.85686248368904,50.41892879365951,999.6617310363503,2358.8748,1482.7948209494928,647497.5017844404,71718.02513930284,26.299348958719023,11.0,19.0,24.0
recording_8,09/12/22,22:16:54,90.864290587671,50.32921036397653,999.6546577579984,2335.7861,1492.8542262147816,649007.1530758233,73752.50131648238,16.176220248769095,11.0,19.0,24.0
recording_8,09/12/22,22:16:56,90.88314654548608,50.29573089272648,999.6510541972702,2392.9925,1502.91715285881,645494.6619217087,74820.28139102735,19.539333922325977,11.0,19.0,24.0
